KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate,Target
1,0,0,5,5,10,0.0,5,10,0.0,0,0,0.0,5,8,0.125,1,3,-0.5,-1,-1,-1.0,0,3,-0.11538461538461542,0,0,0.0,5,7,0.7142857142857143,1
0,2,0,49,-7,-24,0.045009784735812075,-5,-22,0.07169811320754715,0,-2,0.0,-6,-30,0.09848484848484851,2,5,-0.4285714285714286,-3,1,-0.6666666666666667,-8,-26,0.04194053208137721,-1,-1,-0.5,2,3,0.6666666666666666,1
1,0,0,36,3,-13,0.217948717948718,2,-13,0.18687707641196016,2,2,1.0,-3,-24,0.26349206349206356,-2,-1,-0.30000000000000004,8,12,-0.2857142857142857,-4,-21,0.17592592592592587,1,1,0.09999999999999998,6,7,0.8571428571428571,1
-1,0,1,-191,17,3,0.18493543758967007,51,52,0.13896486993832136,0,-2,0.0,-5,-16,0.028438228438228408,9,8,0.1875,13,11,0.36363636363636376,25,21,0.23481481481481487,4,5,-0.16666666666666663,-12,-23,0.19444444444444442,1
-1,0,0,-3,-4,6,-0.4,-4,6,-0.4,0,0,0.0,-3,2,-0.375,0,1,0.0,-1,3,-0.5,-2,10,-0.3333333333333333,0,0,0.0,-2,-4,-0.5,0
0,0,0,528,7,6,0.08235294117647063,41,45,0.15428276573787414,6,9,0.6666666666666666,10,15,0.1780185758513932,-1,-4,0.12857142857142856,-2,-5,0.19047619047619047,0,-4,0.04746209624258413,-2,-3,0.25,9,13,0.6923076923076923,1
0,1,0,526,28,43,0.1341372912801484,91,118,0.25982232805201944,5,5,0.8333333333333334,19,32,0.1291666666666667,6,8,0.0,3,3,0.0,17,29,0.08311688311688309,0,1,0.0,11,13,0.8461538461538461,1
1,1,0,33,5,8,0.1072124756335282,5,8,0.1072124756335282,0,0,0.0,4,8,0.16666666666666669,2,1,0.30000000000000004,-1,-1,-0.16666666666666663,4,6,0.0968421052631579,1,1,1.0,0,1,0.0,1
0,0,0,669,6,-10,0.21807747489239604,24,20,0.1763595814033283,17,27,0.6296296296296297,6,-11,0.23282051282051275,0,1,-0.5,0,0,0.0,4,-14,0.21939586645469,0,0,0.0,2,4,0.5,1
1,0,0,3,6,7,0.75,6,7,0.75,0,0,0.0,6,7,0.75,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,5,7,0.7142857142857143,1
0,1,0,148,-1,-3,0.0,-2,-5,0.07004830917874394,2,2,1.0,0,-3,0.0,-1,0,-0.5,0,0,0.0,-1,-3,0.0,0,0,0.0,0,0,0.0,1
1,1,0,32,10,-9,0.45384615384615384,35,18,0.5924528301886793,0,0,0.0,6,-12,0.42596348884381346,2,1,0.30000000000000004,2,2,0.0,6,-14,0.41904761904761906,0,0,0.0,4,5,0.8,1
2,0,0,10,48,43,0.30417640186915884,44,38,0.2612740664168497,0,0,0.0,1,-6,0.0636363636363636,19,19,0.27403846153846156,28,30,-0.06451612903225801,41,33,0.3225806451612903,7,9,0.019230769230769273,0,1,0.0,1
1,0,0,-96,-10,-70,0.08898409821207881,-19,-81,0.0682053941908714,-2,-10,-0.2,15,-28,0.14864864864864857,-2,-11,0.3761904761904762,-23,-31,0.25,-5,-56,0.08760128420730778,-2,-10,0.5714285714285715,-3,-4,-0.75,0
0,0,0,159,2,15,-0.0608237547892721,6,11,0.000540540540540535,2,5,0.3333333333333333,15,36,0.06187766714082499,-11,-16,0.06923076923076932,-2,-5,0.375,-19,-15,-0.2168831168831169,2,4,-0.33333333333333337,19,26,0.7307692307692307,1
1,0,0,-230,-8,3,-0.17014824797843664,-6,-1,-0.06141470888661904,-2,-5,-0.4,-10,4,-0.2543295398317665,-2,-2,-0.13333333333333341,4,1,0.6,-7,4,-0.19358178053830222,0,0,0.0,-1,-1,-0.033333333333333326,1
0,1,0,68,-33,-22,-0.34702380952380957,-1,11,-0.1071428571428572,5,6,0.7142857142857143,-28,-18,-0.42592592592592593,-8,-8,-0.16666666666666663,3,4,0.0,-17,-3,-0.3630820399113083,1,2,0.0,-17,-21,0.16666666666666663,0
-1,-1,0,-23,3,10,-0.047149122807017496,0,5,-0.055717054263565824,-1,-2,-0.3333333333333333,-6,-5,-0.11904761904761912,4,5,-0.125,5,10,0.5,1,8,-0.07703081232492998,4,6,0.6666666666666666,-2,-4,-0.5,0
0,-1,0,-27,-2,6,-0.4835164835164836,-4,4,-0.5470085470085471,-1,-2,-0.5,-3,4,-0.6,3,3,1.0,-2,-1,-1.0,-2,8,-0.7692307692307693,0,0,0.0,0,-2,0.0,0
1,0,0,17,65,39,0.3368071727992548,65,39,0.3368071727992548,0,0,0.0,16,-14,0.22414529914529918,19,22,-0.09677419354838723,30,31,0.967741935483871,51,24,0.31872455902306657,8,9,0.16666666666666674,6,6,1.0,1
0,0,0,93,0,-22,0.07236842105263158,6,-16,0.0997767991795862,0,1,0.0,-16,-54,0.005805515239477532,-3,7,-0.24731182795698925,19,25,0.20967741935483875,1,-21,0.07659774436090228,-1,-1,0.0,0,0,0.0,0
0,1,0,-75,-7,-15,-0.10000000000000003,15,9,0.2924710424710425,-1,-1,-1.0,-6,-16,-0.062111801242235976,-1,0,-0.5,0,1,0.0,-5,-12,-0.0636363636363636,-2,-2,-1.0,0,-1,0.0,1
1,0,0,214,20,53,-0.01851558790947927,44,87,0.002564102564102555,0,3,0.0,-1,16,-0.0708333333333333,12,22,-0.32258064516129037,9,15,0.6,4,35,-0.0871212121212121,9,10,-0.09090909090909083,7,8,0.875,0
0,0,0,-44,-18,-59,0.03411053540587211,-21,-65,0.03463492416657393,1,-1,0.5,-51,-106,-0.08886430678466073,16,25,-0.056122448979591844,17,22,0.25,-9,-47,0.05178769709082831,-8,-8,-0.4848484848484849,-1,-4,-0.25,1
-1,0,0,-1,-6,-10,-0.5454545454545454,-6,-10,-0.5454545454545454,0,0,0.0,-3,-8,-0.375,-1,0,-1.0,-2,-2,-1.0,-6,-7,-0.75,0,0,0.0,0,-3,0.0,0
0,0,0,-741,-2,15,-0.548951048951049,16,27,-0.059523809523809534,-2,-10,-0.2,-2,12,-0.55,-2,0,-0.6666666666666667,2,3,0.6666666666666666,0,16,-0.5,-1,0,-1.0,-1,-1,0.0,0
0,3,0,-100,18,49,-0.10096075557726758,37,70,-0.07047619047619058,-5,-3,-0.5555555555555556,8,36,-0.1247771836007131,8,10,-0.030501089324618702,2,3,-0.05555555555555558,25,55,-0.05771428571428572,-7,-6,-0.1255060728744939,0,0,0.0,1
1,0,0,60,6,-30,0.12480709876543211,-8,-51,0.10518881950639314,1,-2,0.3333333333333333,-24,-63,0.03964285714285709,29,33,0.15555555555555556,1,0,0.19999999999999996,-5,-42,0.10687425149700602,7,8,0.044334975369458074,4,4,0.125,0
