Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,Nate Diaz,0,76 of 162,46%,130 of 223,0 of 0,---,0,0,1:53,52 of 129,16 of 21,8 of 12,66 of 152,10 of 10,0 of 0
L,Demian Maia,0,21 of 53,39%,23 of 55,1 of 21,4%,0,0,4:14,21 of 53,0 of 0,0 of 0,20 of 52,1 of 1,0 of 0
W,Belal Muhammad,0,45 of 127,35%,92 of 177,0 of 0,---,0,0,0:00,38 of 119,3 of 4,4 of 4,43 of 123,2 of 4,0 of 0
W,Paul Craig,0,23 of 25,92%,43 of 47,0 of 1,0%,3,0,0:03,18 of 20,4 of 4,1 of 1,6 of 7,0 of 0,17 of 18
L,Jamahal Hill,0,1 of 8,12%,3 of 10,0 of 0,---,0,0,0:53,0 of 4,0 of 2,1 of 2,1 of 8,0 of 0,0 of 0
L,Drew Dober,0,73 of 168,43%,78 of 173,1 of 5,20%,0,1,1:05,52 of 144,18 of 20,3 of 4,67 of 161,2 of 2,4 of 5
W,Brad Riddell,0,89 of 137,64%,113 of 161,5 of 11,45%,0,0,2:30,66 of 100,15 of 28,8 of 9,78 of 125,5 of 5,6 of 7
W,Eryk Anders,0,44 of 74,59%,112 of 148,0 of 4,0%,0,1,8:19,36 of 61,7 of 11,1 of 2,9 of 28,17 of 22,18 of 24
L,Darren Stewart,0,33 of 58,56%,63 of 93,2 of 4,50%,0,0,2:15,8 of 28,7 of 8,18 of 22,22 of 44,11 of 13,0 of 1
W,Lauren Murphy,0,80 of 148,54%,121 of 195,1 of 6,16%,0,0,4:54,66 of 131,14 of 17,0 of 0,55 of 119,10 of 13,15 of 16
L,Joanne Wood,0,123 of 228,53%,153 of 259,0 of 0,---,0,0,0:06,62 of 137,30 of 41,31 of 50,99 of 201,23 of 25,1 of 2
W,Movsar Evloev,0,42 of 90,46%,193 of 266,9 of 13,69%,2,0,8:55,37 of 83,3 of 4,2 of 3,21 of 63,5 of 9,16 of 18
L,Hakeem Dawodu,0,39 of 92,42%,60 of 129,0 of 1,0%,0,1,0:16,26 of 70,7 of 14,6 of 8,37 of 89,2 of 3,0 of 0
W,Pannie Kianzad,0,124 of 249,49%,124 of 249,0 of 0,---,0,0,0:05,99 of 210,24 of 38,1 of 1,122 of 246,2 of 3,0 of 0
L,Alexis Davis,0,132 of 251,52%,147 of 268,1 of 1,100%,0,0,0:06,95 of 211,12 of 15,25 of 25,125 of 239,7 of 9,0 of 3
L,Matt Frevola,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
W,Terrance McKinney,1,4 of 5,80%,5 of 7,0 of 0,---,0,0,0:03,4 of 5,0 of 0,0 of 0,2 of 2,0 of 0,2 of 3
L,Chase Hooper,0,31 of 61,50%,98 of 132,3 of 8,37%,2,1,2:55,21 of 51,9 of 9,1 of 1,28 of 55,0 of 0,3 of 6
W,Steven Peterson,0,49 of 68,72%,102 of 124,1 of 1,100%,2,0,7:57,38 of 56,8 of 9,3 of 3,19 of 37,5 of 5,25 of 26
W,Fares Ziam,0,39 of 121,32%,43 of 125,0 of 0,---,0,0,0:00,24 of 106,8 of 8,7 of 7,37 of 118,2 of 3,0 of 0
L,Luigi Vendramini,0,34 of 95,35%,50 of 116,1 of 6,16%,0,0,3:09,19 of 73,11 of 16,4 of 6,26 of 83,3 of 3,5 of 9
W,Carlos Felipe,0,94 of 192,48%,94 of 192,0 of 0,---,0,0,0:02,64 of 153,25 of 33,5 of 6,92 of 190,2 of 2,0 of 0
L,Jake Collier,0,130 of 281,46%,130 of 281,0 of 1,0%,0,0,0:00,86 of 229,20 of 26,24 of 26,127 of 277,3 of 4,0 of 0
W,Jairzinho Rozenstruik,1,16 of 29,55%,16 of 29,0 of 0,---,0,0,0:02,6 of 17,5 of 6,5 of 6,15 of 26,0 of 0,1 of 3
L,Augusto Sakai,0,3 of 14,21%,3 of 14,0 of 0,---,0,0,0:00,0 of 5,1 of 4,2 of 5,3 of 14,0 of 0,0 of 0
L,Walt Harris,0,23 of 40,57%,23 of 41,0 of 0,---,0,0,0:06,17 of 33,6 of 7,0 of 0,19 of 35,4 of 5,0 of 0
W,Marcin Tybura,0,4 of 10,40%,59 of 71,1 of 2,50%,0,0,2:18,2 of 6,2 of 4,0 of 0,4 of 10,0 of 0,0 of 0
W,Roman Dolidze,0,14 of 39,35%,52 of 89,5 of 9,55%,0,0,9:37,9 of 30,0 of 4,5 of 5,5 of 18,9 of 21,0 of 0
L,Laureano Staropoli,0,9 of 38,23%,25 of 63,3 of 5,60%,0,0,0:50,3 of 31,2 of 2,4 of 5,7 of 34,1 of 2,1 of 2
W,Santiago Ponzinibbio,0,121 of 270,44%,122 of 271,0 of 2,0%,0,0,0:00,98 of 245,12 of 13,11 of 12,121 of 270,0 of 0,0 of 0
L,Miguel Baeza,0,104 of 249,41%,104 of 249,0 of 0,---,0,0,0:00,36 of 166,24 of 34,44 of 49,104 of 249,0 of 0,0 of 0
L,Dusko Todorovic,0,37 of 120,30%,46 of 133,0 of 4,0%,0,0,1:26,23 of 103,10 of 13,4 of 4,27 of 106,10 of 14,0 of 0
W,Gregory Rodrigues,0,71 of 150,47%,73 of 153,3 of 5,60%,0,0,1:25,49 of 120,19 of 24,3 of 6,63 of 136,8 of 14,0 of 0
W,Montana De La Rosa,0,29 of 55,52%,66 of 113,2 of 3,66%,0,0,6:52,28 of 53,0 of 1,1 of 1,2 of 22,0 of 0,27 of 33
L,Ariane da Silva,0,11 of 24,45%,37 of 64,0 of 0,---,0,0,0:00,5 of 15,6 of 9,0 of 0,11 of 24,0 of 0,0 of 0
L,Tanner Boser,0,45 of 105,42%,84 of 153,0 of 0,---,0,0,0:42,32 of 84,11 of 19,2 of 2,28 of 79,4 of 9,13 of 17
W,Ilir Latifi,0,10 of 38,26%,51 of 98,2 of 3,66%,0,0,6:38,8 of 33,2 of 4,0 of 1,10 of 38,0 of 0,0 of 0
L,Francisco Trinaldo,0,39 of 128,30%,51 of 148,0 of 1,0%,0,0,0:40,22 of 101,16 of 26,1 of 1,34 of 119,5 of 9,0 of 0
W,Muslim Salikhov,1,62 of 118,52%,71 of 129,2 of 3,66%,0,0,2:07,29 of 84,26 of 27,7 of 7,48 of 98,1 of 1,13 of 19
L,Makwan Amirkhani,0,20 of 49,40%,25 of 56,5 of 9,55%,0,0,6:50,14 of 40,4 of 7,2 of 2,15 of 42,0 of 0,5 of 7
W,Kamuela Kirk,0,28 of 63,44%,100 of 143,0 of 0,---,3,0,1:34,8 of 34,9 of 15,11 of 14,27 of 62,0 of 0,1 of 1
NC,Alan Patrick,0,10 of 32,31%,14 of 39,0 of 4,0%,0,0,0:02,5 of 25,5 of 7,0 of 0,7 of 29,3 of 3,0 of 0
NC,Mason Jones,0,46 of 85,54%,57 of 100,2 of 3,66%,0,0,3:41,32 of 67,13 of 17,1 of 1,11 of 37,9 of 13,26 of 35
W,Manon Fiorot,1,84 of 172,48%,85 of 173,1 of 1,100%,0,0,0:40,68 of 154,8 of 10,8 of 8,61 of 140,17 of 24,6 of 8
L,Tabatha Ricci,0,17 of 90,18%,17 of 91,0 of 1,0%,0,0,0:00,6 of 69,5 of 12,6 of 9,16 of 89,1 of 1,0 of 0
W,Sean Woodson,0,40 of 116,34%,104 of 204,0 of 0,---,2,0,1:03,23 of 88,6 of 12,11 of 16,33 of 107,7 of 9,0 of 0
L,Youssef Zalal,0,42 of 89,47%,55 of 112,2 of 17,11%,0,0,6:21,18 of 62,9 of 11,15 of 16,40 of 85,2 of 4,0 of 0
W,Claudio Puelles,0,20 of 33,60%,71 of 100,4 of 4,100%,0,0,10:01,6 of 14,12 of 14,2 of 5,7 of 15,0 of 0,13 of 18
L,Jordan Leavitt,0,21 of 34,61%,170 of 213,2 of 7,28%,0,1,2:06,4 of 14,5 of 8,12 of 12,19 of 30,2 of 3,0 of 1
W,Rob Font,0,176 of 365,48%,183 of 374,2 of 3,66%,0,0,1:13,145 of 326,23 of 29,8 of 10,168 of 356,6 of 6,2 of 3
L,Cody Garbrandt,0,63 of 142,44%,78 of 159,3 of 10,30%,0,0,3:02,45 of 120,8 of 11,10 of 11,51 of 126,8 of 11,4 of 5
L,Yan Xiaonan,0,5 of 11,45%,31 of 41,0 of 0,---,0,0,0:00,4 of 10,1 of 1,0 of 0,2 of 7,0 of 0,3 of 4
W,Carla Esparza,0,27 of 33,81%,170 of 194,3 of 3,100%,0,0,7:18,27 of 33,0 of 0,0 of 0,1 of 2,0 of 0,26 of 31
L,Justin Tafa,0,74 of 147,50%,74 of 147,0 of 0,---,0,0,0:11,35 of 102,32 of 38,7 of 7,70 of 143,4 of 4,0 of 0
W,Jared Vanderaa,0,121 of 248,48%,141 of 269,0 of 0,---,0,0,0:24,64 of 181,34 of 43,23 of 24,104 of 226,17 of 22,0 of 0
L,Felicia Spencer,0,47 of 114,41%,70 of 139,0 of 0,---,0,0,2:58,27 of 76,14 of 27,6 of 11,38 of 102,9 of 12,0 of 0
W,Norma Dumont,0,68 of 135,50%,88 of 155,1 of 3,33%,0,0,1:21,40 of 100,14 of 20,14 of 15,59 of 123,9 of 12,0 of 0
W,Ricardo Ramos,0,53 of 102,51%,57 of 106,8 of 13,61%,1,0,3:26,30 of 72,16 of 20,7 of 10,45 of 93,8 of 9,0 of 0
L,Bill Algeo,0,76 of 170,44%,90 of 187,0 of 1,0%,0,1,0:41,35 of 111,25 of 40,16 of 19,71 of 161,4 of 7,1 of 2
W,Jack Hermansson,0,55 of 100,55%,141 of 192,3 of 6,50%,0,0,7:11,44 of 82,3 of 6,8 of 12,20 of 56,0 of 0,35 of 44
L,Edmen Shahbazyan,0,40 of 92,43%,42 of 94,0 of 0,---,1,1,1:51,34 of 84,6 of 8,0 of 0,30 of 77,3 of 4,7 of 11
W,Ben Rothwell,0,60 of 101,59%,72 of 120,1 of 1,100%,2,0,2:03,47 of 88,10 of 10,3 of 3,54 of 94,6 of 7,0 of 0
L,Chris Barnett,0,33 of 85,38%,34 of 86,0 of 1,0%,0,0,0:02,20 of 69,4 of 5,9 of 11,31 of 81,2 of 4,0 of 0
W,Court McGee,0,37 of 74,50%,110 of 157,3 of 5,60%,1,0,8:03,22 of 53,9 of 14,6 of 7,23 of 58,2 of 3,12 of 13
L,Claudio Silva,0,21 of 56,37%,81 of 126,1 of 10,10%,0,0,1:48,8 of 36,9 of 15,4 of 5,19 of 52,2 of 4,0 of 0
W,Bruno Silva,1,6 of 12,50%,6 of 12,0 of 0,---,0,0,0:02,4 of 10,1 of 1,1 of 1,3 of 6,1 of 1,2 of 5
L,Victor Rodriguez,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
W,Josh Culibao,0,53 of 104,50%,87 of 140,0 of 1,0%,1,0,0:04,34 of 82,1 of 1,18 of 21,51 of 101,2 of 3,0 of 0
L,Shayilan Nuerdanbieke,0,17 of 63,26%,23 of 71,2 of 14,14%,0,0,6:06,13 of 55,3 of 4,1 of 4,12 of 53,5 of 10,0 of 0
W,David Dvorak,0,9 of 28,32%,9 of 28,0 of 0,---,1,0,0:23,4 of 19,4 of 8,1 of 1,9 of 28,0 of 0,0 of 0
L,Juancamilo Ronderos,0,11 of 32,34%,12 of 33,0 of 2,0%,0,0,0:00,5 of 25,2 of 2,4 of 5,8 of 27,3 of 5,0 of 0
L,Rafael Alves,1,30 of 63,47%,36 of 69,0 of 1,0%,1,0,0:16,20 of 50,6 of 7,4 of 6,28 of 59,2 of 2,0 of 2
W,Damir Ismagulov,0,56 of 126,44%,141 of 220,2 of 3,66%,0,0,7:40,30 of 91,16 of 24,10 of 11,37 of 104,0 of 0,19 of 22
W,Charles Oliveira,2,24 of 32,75%,32 of 41,1 of 2,50%,0,0,1:42,20 of 26,1 of 3,3 of 3,13 of 20,3 of 3,8 of 9
L,Michael Chandler,0,30 of 55,54%,36 of 61,0 of 0,---,1,1,2:27,22 of 42,6 of 10,2 of 3,13 of 26,0 of 0,17 of 29
L,Tony Ferguson,0,15 of 34,44%,37 of 59,0 of 0,---,1,0,0:05,10 of 29,5 of 5,0 of 0,6 of 23,1 of 1,8 of 10
W,Beneil Dariush,0,23 of 55,41%,76 of 142,3 of 6,50%,1,1,12:15,16 of 48,3 of 3,4 of 4,15 of 44,1 of 1,7 of 10
NC,Matt Schnell,0,65 of 135,48%,113 of 184,0 of 0,---,0,0,0:00,38 of 104,21 of 25,6 of 6,57 of 125,8 of 10,0 of 0
NC,Rogerio Bontorin,0,72 of 124,58%,89 of 143,1 of 1,100%,0,0,2:18,57 of 103,4 of 8,11 of 13,57 of 107,3 of 5,12 of 12
W,Katlyn Cerminara,0,127 of 292,43%,135 of 300,0 of 0,---,0,0,0:01,87 of 236,31 of 46,9 of 10,121 of 286,6 of 6,0 of 0
L,Viviane Araujo,0,89 of 196,45%,129 of 238,1 of 3,33%,1,0,3:04,60 of 162,24 of 29,5 of 5,85 of 192,4 of 4,0 of 0
L,Shane Burgos,0,80 of 180,44%,80 of 180,0 of 0,---,0,0,0:03,41 of 131,24 of 33,15 of 16,80 of 179,0 of 1,0 of 0
W,Edson Barboza,1,98 of 191,51%,98 of 191,0 of 0,---,0,0,0:03,51 of 134,14 of 17,33 of 40,96 of 189,0 of 0,2 of 2
L,Jacare Souza,0,11 of 19,57%,15 of 23,1 of 2,50%,0,0,0:53,5 of 13,4 of 4,2 of 2,7 of 13,0 of 0,4 of 6
W,Andre Muniz,0,7 of 12,58%,19 of 26,2 of 3,66%,1,0,1:10,3 of 8,2 of 2,2 of 2,6 of 11,1 of 1,0 of 0
W,Lando Vannata,0,80 of 168,47%,83 of 173,1 of 1,100%,0,0,0:23,40 of 118,27 of 36,13 of 14,73 of 161,7 of 7,0 of 0
L,Mike Grundy,0,32 of 63,50%,34 of 65,3 of 20,15%,0,0,2:37,19 of 44,13 of 19,0 of 0,28 of 59,4 of 4,0 of 0
W,Jordan Wright,1,26 of 32,81%,33 of 40,0 of 0,---,0,0,0:11,21 of 27,5 of 5,0 of 0,5 of 6,12 of 12,9 of 14
L,Jamie Pickett,0,4 of 5,80%,4 of 5,0 of 0,---,0,0,0:12,2 of 3,1 of 1,1 of 1,4 of 4,0 of 1,0 of 0
W,Andrea Lee,0,45 of 62,72%,88 of 108,3 of 3,100%,3,0,2:11,32 of 43,11 of 15,2 of 4,19 of 35,6 of 6,20 of 21
L,Antonina Shevchenko,0,23 of 41,56%,36 of 54,0 of 0,---,0,0,3:58,13 of 30,8 of 9,2 of 2,15 of 32,8 of 9,0 of 0
L,Gina Mazany,0,33 of 48,68%,77 of 99,4 of 9,44%,0,0,6:44,21 of 34,10 of 11,2 of 3,19 of 32,5 of 7,9 of 9
W,Priscila Cachoeira,0,36 of 57,63%,47 of 71,0 of 0,---,0,0,0:17,31 of 52,5 of 5,0 of 0,24 of 45,10 of 10,2 of 2
L,Kevin Aguilar,0,81 of 144,56%,132 of 196,0 of 2,0%,0,0,0:52,45 of 98,31 of 39,5 of 7,72 of 135,9 of 9,0 of 0
W,Tucker Lutz,0,99 of 177,55%,114 of 192,3 of 4,75%,0,0,3:05,59 of 131,21 of 26,19 of 20,91 of 167,5 of 6,3 of 4
W,Christos Giagos,0,22 of 54,40%,23 of 55,3 of 5,60%,1,0,0:59,15 of 43,5 of 9,2 of 2,19 of 50,2 of 3,1 of 1
L,Sean Soriano,0,33 of 53,62%,37 of 57,0 of 0,---,0,0,0:00,16 of 35,8 of 9,9 of 9,30 of 50,3 of 3,0 of 0
W,Marina Rodriguez,0,125 of 282,44%,144 of 304,0 of 0,---,0,0,0:51,60 of 188,28 of 41,37 of 53,106 of 256,19 of 26,0 of 0
L,Michelle Waterson-Gomez,0,88 of 205,42%,100 of 222,1 of 5,20%,0,0,3:54,43 of 129,25 of 38,20 of 38,74 of 182,7 of 12,7 of 11
L,Donald Cerrone,0,17 of 35,48%,18 of 36,0 of 2,0%,0,0,0:02,5 of 23,10 of 10,2 of 2,16 of 34,1 of 1,0 of 0
W,Alex Morono,0,35 of 84,41%,41 of 90,0 of 2,0%,0,0,0:47,28 of 74,5 of 7,2 of 3,30 of 73,5 of 11,0 of 0
W,Neil Magny,0,55 of 174,31%,89 of 214,2 of 10,20%,0,0,1:43,34 of 144,18 of 26,3 of 4,45 of 161,7 of 10,3 of 3
L,Geoff Neal,0,35 of 73,47%,37 of 76,1 of 2,50%,0,0,3:50,30 of 67,5 of 6,0 of 0,30 of 62,4 of 9,1 of 2
L,Maurice Greene,0,5 of 8,62%,60 of 72,0 of 0,---,0,0,0:00,3 of 6,1 of 1,1 of 1,5 of 8,0 of 0,0 of 0
W,Marcos Rogerio de Lima,0,14 of 26,53%,166 of 228,3 of 4,75%,0,0,14:06,11 of 23,2 of 2,1 of 1,3 of 10,1 of 1,10 of 15
L,Diego Ferreira,0,31 of 60,51%,37 of 70,0 of 2,0%,0,2,1:06,31 of 60,0 of 0,0 of 0,10 of 39,3 of 3,18 of 18
W,Gregor Gillespie,0,45 of 62,72%,53 of 70,4 of 8,50%,0,0,5:10,37 of 52,7 of 9,1 of 1,9 of 17,6 of 8,30 of 37
W,Phil Hawes,0,66 of 101,65%,157 of 210,2 of 4,50%,1,0,5:34,42 of 75,23 of 25,1 of 1,33 of 57,18 of 19,15 of 25
L,Kyle Daukaus,0,28 of 82,34%,52 of 113,0 of 7,0%,0,1,4:13,20 of 68,6 of 11,2 of 3,26 of 78,2 of 3,0 of 1
L,Ludovit Klein,0,45 of 86,52%,50 of 91,4 of 7,57%,0,0,3:28,23 of 57,15 of 22,7 of 7,44 of 85,1 of 1,0 of 0
W,Michael Trizano,0,56 of 104,53%,91 of 143,0 of 0,---,1,0,0:00,34 of 72,11 of 21,11 of 11,54 of 102,2 of 2,0 of 0
W,JunYong Park,0,71 of 145,48%,79 of 155,2 of 5,40%,2,0,3:49,61 of 134,4 of 5,6 of 6,48 of 117,3 of 3,20 of 25
L,Tafon Nchukwi,0,58 of 136,42%,64 of 144,1 of 2,50%,0,0,0:34,20 of 83,25 of 33,13 of 20,51 of 127,7 of 9,0 of 0
L,Christian Aguilera,0,1 of 10,10%,5 of 15,0 of 1,0%,0,0,0:32,1 of 9,0 of 0,0 of 1,1 of 10,0 of 0,0 of 0
W,Carlston Harris,0,5 of 13,38%,6 of 16,0 of 3,0%,1,0,0:52,3 of 9,1 of 3,1 of 1,5 of 13,0 of 0,0 of 0
L,Dominick Reyes,0,63 of 108,58%,68 of 114,1 of 1,100%,1,0,0:29,39 of 81,21 of 24,3 of 3,57 of 100,1 of 1,5 of 7
W,Jiri Prochazka,1,77 of 136,56%,78 of 137,1 of 1,100%,0,0,1:35,61 of 119,16 of 17,0 of 0,70 of 122,1 of 2,6 of 12
W,Giga Chikadze,1,12 of 18,66%,12 of 18,0 of 0,---,0,0,0:05,9 of 14,2 of 3,1 of 1,7 of 11,0 of 0,5 of 7
L,Cub Swanson,0,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:00,1 of 1,0 of 0,3 of 5,4 of 6,0 of 0,0 of 0
D,Ion Cutelaba,0,71 of 152,46%,111 of 201,9 of 19,47%,0,0,4:27,62 of 139,5 of 9,4 of 4,44 of 123,8 of 8,19 of 21
D,Dustin Jacoby,0,84 of 148,56%,100 of 164,1 of 3,33%,0,0,1:32,67 of 130,8 of 9,9 of 9,80 of 142,3 of 5,1 of 1
W,Sean Strickland,0,84 of 182,46%,84 of 182,0 of 0,---,0,0,0:00,46 of 130,24 of 32,14 of 20,84 of 182,0 of 0,0 of 0
L,Krzysztof Jotko,0,37 of 196,18%,37 of 196,0 of 1,0%,0,0,0:00,17 of 163,14 of 27,6 of 6,37 of 196,0 of 0,0 of 0
W,Merab Dvalishvili,0,71 of 192,36%,178 of 306,5 of 11,45%,1,0,1:42,49 of 158,16 of 25,6 of 9,64 of 183,4 of 6,3 of 3
L,Cody Stamann,0,48 of 134,35%,73 of 163,1 of 4,25%,0,1,2:57,27 of 102,20 of 30,1 of 2,41 of 126,6 of 7,1 of 1
L,Randa Markos,0,18 of 40,45%,28 of 51,0 of 0,---,0,0,0:29,12 of 32,6 of 7,0 of 1,12 of 34,5 of 5,1 of 1
W,Luana Pinheiro,0,29 of 53,54%,35 of 61,5 of 6,83%,0,0,0:54,22 of 44,4 of 5,3 of 4,20 of 38,7 of 7,2 of 8
L,Kai Kamaka III,1,61 of 128,47%,85 of 155,1 of 1,100%,0,0,5:38,38 of 100,14 of 17,9 of 11,51 of 115,1 of 1,9 of 12
W,TJ Brown,0,82 of 211,38%,110 of 243,2 of 4,50%,1,0,0:36,54 of 174,19 of 26,9 of 11,77 of 204,3 of 5,2 of 2
L,Poliana Botelho,0,34 of 57,59%,87 of 112,1 of 4,25%,0,0,4:39,12 of 27,14 of 22,8 of 8,22 of 44,6 of 7,6 of 6
W,Luana Carolina,0,25 of 46,54%,100 of 130,0 of 0,---,0,0,5:28,6 of 22,13 of 17,6 of 7,13 of 31,11 of 13,1 of 2
W,Loma Lookboonmee,0,84 of 124,67%,108 of 149,4 of 8,50%,0,0,1:30,23 of 53,53 of 62,8 of 9,34 of 72,43 of 45,7 of 7
L,Sam Hughes,0,49 of 73,67%,98 of 126,0 of 2,0%,0,0,6:34,32 of 47,15 of 17,2 of 9,30 of 52,17 of 19,2 of 2
W,Andreas Michailidis,0,73 of 137,53%,75 of 139,1 of 1,100%,0,0,1:59,46 of 107,19 of 22,8 of 8,66 of 129,4 of 4,3 of 4
L,KB Bhullar,0,70 of 131,53%,71 of 132,0 of 0,---,0,0,0:12,5 of 44,12 of 19,53 of 68,69 of 130,1 of 1,0 of 0
L,Luke Sanders,1,118 of 211,55%,131 of 225,2 of 5,40%,0,0,2:55,93 of 182,16 of 20,9 of 9,97 of 187,12 of 14,9 of 10
W,Felipe Colares,0,78 of 131,59%,104 of 165,2 of 10,20%,0,0,2:54,51 of 101,26 of 29,1 of 1,70 of 119,3 of 3,5 of 9
W,Kamaru Usman,1,21 of 40,52%,32 of 54,2 of 2,100%,0,0,1:42,15 of 32,5 of 7,1 of 1,12 of 30,0 of 0,9 of 10
L,Jorge Masvidal,0,31 of 52,59%,56 of 79,0 of 0,---,0,0,0:00,13 of 33,3 of 4,15 of 15,27 of 47,0 of 0,4 of 5
L,Zhang Weili,0,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:00,1 of 4,0 of 1,6 of 6,7 of 11,0 of 0,0 of 0
W,Rose Namajunas,1,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:03,5 of 10,0 of 0,0 of 0,2 of 7,0 of 0,3 of 3
W,Valentina Shevchenko,0,32 of 39,82%,90 of 97,7 of 7,100%,1,0,5:11,27 of 34,3 of 3,2 of 2,9 of 15,5 of 6,18 of 18
L,Jessica Andrade,0,10 of 15,66%,47 of 55,0 of 2,0%,0,0,0:57,2 of 6,8 of 8,0 of 1,4 of 9,6 of 6,0 of 0
W,Uriah Hall,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
L,Chris Weidman,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
W,Anthony Smith,0,26 of 39,66%,27 of 40,0 of 0,---,0,0,0:02,20 of 32,4 of 5,2 of 2,26 of 39,0 of 0,0 of 0
L,Jimmy Crute,0,18 of 35,51%,34 of 57,3 of 3,100%,0,0,0:57,7 of 21,2 of 5,9 of 9,17 of 33,0 of 0,1 of 2
L,Alex Oliveira,0,7 of 12,58%,9 of 14,0 of 0,---,0,0,0:00,1 of 6,1 of 1,5 of 5,7 of 12,0 of 0,0 of 0
W,Randy Brown,1,16 of 32,50%,23 of 39,0 of 0,---,1,0,1:23,10 of 24,1 of 2,5 of 6,8 of 21,0 of 0,8 of 11
W,Dwight Grant,0,49 of 156,31%,52 of 160,1 of 1,100%,0,0,0:25,28 of 126,10 of 17,11 of 13,45 of 152,2 of 2,2 of 2
L,Stefan Sekulic,0,33 of 52,63%,39 of 59,3 of 7,42%,1,0,2:04,14 of 31,5 of 7,14 of 14,31 of 50,0 of 0,2 of 2
L,Karl Roberson,0,6 of 14,42%,15 of 24,0 of 0,---,0,0,0:00,5 of 11,0 of 2,1 of 1,6 of 14,0 of 0,0 of 0
W,Brendan Allen,0,9 of 16,56%,15 of 22,2 of 2,100%,1,0,3:16,4 of 11,1 of 1,4 of 4,9 of 16,0 of 0,0 of 0
W,Pat Sabatini,1,26 of 45,57%,73 of 98,1 of 5,20%,1,0,9:58,18 of 36,7 of 7,1 of 2,11 of 27,4 of 6,11 of 12
L,Tristan Connelly,0,19 of 50,38%,87 of 125,1 of 1,100%,0,0,1:20,10 of 41,6 of 6,3 of 3,14 of 42,4 of 6,1 of 2
W,Batgerel Danaa,1,7 of 15,46%,8 of 16,0 of 0,---,0,0,0:04,7 of 15,0 of 0,0 of 0,3 of 8,0 of 0,4 of 7
L,Kevin Natividad,0,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:00,1 of 5,2 of 3,0 of 0,3 of 8,0 of 0,0 of 0
W,Kazula Vargas,0,96 of 176,54%,111 of 192,0 of 1,0%,1,1,1:10,50 of 121,29 of 34,17 of 21,94 of 174,1 of 1,1 of 1
L,Rongzhu,0,42 of 105,40%,49 of 114,3 of 4,75%,0,0,2:44,40 of 101,2 of 4,0 of 0,40 of 100,0 of 0,2 of 5
L,Aoriqileng,0,116 of 258,44%,125 of 269,3 of 4,75%,0,0,2:00,77 of 214,33 of 38,6 of 6,111 of 248,5 of 10,0 of 0
W,Jeff Molina,2,189 of 356,53%,210 of 378,0 of 1,0%,0,0,0:43,167 of 328,18 of 22,4 of 6,178 of 345,10 of 10,1 of 1
L,Liang Na,0,19 of 27,70%,36 of 47,3 of 4,75%,1,2,2:48,13 of 21,6 of 6,0 of 0,10 of 17,7 of 7,2 of 3
W,Ariane Carnelossi,0,24 of 32,75%,91 of 113,0 of 0,---,0,3,2:36,23 of 31,0 of 0,1 of 1,6 of 11,5 of 5,13 of 16
W,Robert Whittaker,0,150 of 284,52%,169 of 303,4 of 7,57%,0,0,4:19,115 of 241,13 of 19,22 of 24,138 of 265,5 of 7,7 of 12
L,Kelvin Gastelum,0,62 of 209,29%,70 of 218,1 of 5,20%,0,0,0:26,42 of 185,7 of 10,13 of 14,59 of 203,3 of 6,0 of 0
W,Andrei Arlovski,0,105 of 222,47%,109 of 226,0 of 0,---,0,0,0:39,54 of 154,26 of 39,25 of 29,103 of 217,2 of 5,0 of 0
L,Chase Sherman,0,88 of 192,45%,99 of 203,0 of 0,---,0,0,0:00,55 of 154,16 of 20,17 of 18,84 of 187,4 of 5,0 of 0
L,Abdul Razak Alhassan,0,21 of 47,44%,32 of 59,0 of 0,---,0,0,0:02,11 of 33,9 of 12,1 of 2,14 of 38,5 of 6,2 of 3
W,Jacob Malkoun,0,27 of 55,49%,91 of 135,8 of 24,33%,2,0,11:41,24 of 51,2 of 3,1 of 1,18 of 37,3 of 9,6 of 9
W,Tracy Cortez,0,66 of 112,58%,84 of 138,3 of 5,60%,1,0,6:26,40 of 78,19 of 24,7 of 10,39 of 73,7 of 7,20 of 32
L,Justine Kish,1,55 of 119,46%,72 of 140,0 of 1,0%,0,0,0:38,30 of 86,8 of 14,17 of 19,50 of 111,4 of 6,1 of 2
W,Luis Pena,0,90 of 195,46%,90 of 195,0 of 0,---,0,0,0:03,74 of 171,12 of 19,4 of 5,88 of 186,2 of 9,0 of 0
