Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Myktybek Orolbai,1,65 of 119,54%,83 of 138,5 of 17,29%,0,0,7:12,52 of 103,10 of 11,3 of 5,32 of 76,3 of 3,30 of 40
L,Joaquim Silva,1,59 of 93,63%,143 of 179,0 of 1,0%,1,0,0:55,25 of 53,21 of 27,13 of 13,33 of 63,22 of 26,4 of 4
W,Drakkar Klose,0,70 of 123,56%,96 of 151,0 of 7,0%,0,0,5:33,40 of 82,22 of 30,8 of 11,44 of 91,26 of 32,0 of 0
W,Mauricio Ruffy,1,25 of 40,62%,25 of 40,0 of 1,0%,0,0,0:04,21 of 35,0 of 1,4 of 4,22 of 37,1 of 1,2 of 2
L,Jamie Mullarkey,0,14 of 38,36%,14 of 38,0 of 0,---,0,0,0:00,7 of 28,4 of 6,3 of 4,14 of 38,0 of 0,0 of 0
W,Dione Barbosa,0,39 of 71,54%,87 of 124,2 of 11,18%,1,1,3:51,21 of 49,14 of 17,4 of 5,33 of 65,2 of 2,4 of 4
L,Ernesta Kareckaite,0,53 of 156,33%,100 of 220,1 of 1,100%,0,3,3:25,39 of 127,8 of 15,6 of 14,44 of 132,1 of 1,8 of 23
W,Ismael Bonfim,0,111 of 216,51%,112 of 217,1 of 2,50%,0,0,0:30,80 of 176,13 of 20,18 of 20,107 of 209,2 of 4,2 of 3
L,Vinc Pichel,0,61 of 142,42%,64 of 147,1 of 2,50%,0,0,0:29,26 of 93,14 of 24,21 of 25,60 of 140,0 of 1,1 of 1
W,Alessandro Costa,1,46 of 86,53%,60 of 104,0 of 2,0%,0,0,0:43,32 of 66,2 of 5,12 of 15,25 of 55,1 of 3,20 of 28
L,Kevin Borjas,0,18 of 56,32%,18 of 56,0 of 2,0%,0,0,0:00,12 of 45,5 of 10,1 of 1,18 of 55,0 of 1,0 of 0
